ctrl,variable,block_path,pin,direction,note
H11,HpOTHeatExOutFarSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INS,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_29.IN -> OR_29 -> VOTE_1.IN19
H11,HpOTHeatExOutNearSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INT,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_30.IN -> OR_30 -> VOTE_1.IN20
H11,PRO_HpOTHeatExOutTemp2Hi,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,OUT,O,tool cross-reference 2026-09-24: VOTE_1.OUT (M=4) -> OUT
H11,HpOTHeatExOutFarSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INA,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_11.IN -> OR_11 -> VOTE_1.IN1
H11,HpOTHeatExOutNearSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INB,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_12.IN -> OR_12 -> VOTE_1.IN2
H11,HpOTHeatExOutFarSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INC,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_13.IN -> OR_13 -> VOTE_1.IN3
H11,HpOTHeatExOutNearSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,IND,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_14.IN -> OR_14 -> VOTE_1.IN4
H11,HpOTHeatExOutFarSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INE,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_15.IN -> OR_15 -> VOTE_1.IN5
H11,HpOTHeatExOutNearSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INF,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_16.IN -> OR_16 -> VOTE_1.IN6
H11,HpOTHeatExOutFarSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,ING,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_17.IN -> OR_17 -> VOTE_1.IN7
H11,HpOTHeatExOutNearSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INH,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_18.IN -> OR_18 -> VOTE_1.IN8
H11,HpOTHeatExOutFarSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INI,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_19.IN -> OR_19 -> VOTE_1.IN9
